[2025-06-19 16:48:42,799] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-19 16:48:42,802] [INFO] Registered tool: get_resources
[2025-06-19 16:48:42,802] [INFO] Registered tool: delete_resources
[2025-06-19 16:48:42,802] [INFO] Total registered tools: 2
[2025-06-19 16:48:45,835] [INFO] Closing Libvirt Server...
[2025-06-24 09:09:40,153] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-24 09:09:40,158] [INFO] Registered tool: get_resources
[2025-06-24 09:09:40,158] [INFO] Registered tool: delete_resources
[2025-06-24 09:09:40,159] [INFO] Registered tool: describe_resources
[2025-06-24 09:09:40,159] [INFO] Registered tool: api_resources
[2025-06-24 09:09:40,159] [INFO] Total registered tools: 4
[2025-06-24 09:15:10,923] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-24 09:15:10,927] [INFO] Registered tool: get_resources
[2025-06-24 09:15:10,928] [INFO] Registered tool: delete_resources
[2025-06-24 09:15:10,928] [INFO] Registered tool: describe_resources
[2025-06-24 09:15:10,928] [INFO] Registered tool: api_resources
[2025-06-24 09:15:10,928] [INFO] Total registered tools: 4
[2025-06-24 09:22:06,714] [INFO] Closing Libvirt Server...
[2025-06-24 09:22:07,574] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-24 09:22:07,579] [INFO] Registered tool: get_resources
[2025-06-24 09:22:07,579] [INFO] Registered tool: delete_resources
[2025-06-24 09:22:07,579] [INFO] Registered tool: describe_resources
[2025-06-24 09:22:07,579] [INFO] Registered tool: api_resources
[2025-06-24 09:22:07,580] [INFO] Total registered tools: 4
[2025-06-24 09:23:29,706] [INFO] get_nodes took 0.25 seconds
[2025-06-24 09:23:29,707] [INFO] Kubernetes operation get_nodes succeeded
[2025-06-24 09:23:52,252] [INFO] get_namespaces took 0.07 seconds
[2025-06-24 09:23:52,253] [INFO] Kubernetes operation get_namespaces succeeded
[2025-06-24 09:24:06,334] [INFO] get_namespaces took 0.05 seconds
[2025-06-24 09:24:06,334] [INFO] Kubernetes operation get_namespaces succeeded
[2025-06-24 09:24:35,435] [INFO] describe_nodes took 0.56 seconds
[2025-06-24 09:24:35,435] [INFO] Kubernetes operation describe_nodes succeeded
[2025-06-24 09:24:59,113] [INFO] kubectl_get_api_resoucrs took 0.03 seconds
[2025-06-24 09:24:59,113] [INFO] Kubernetes operation kubectl_get_api_resoucrs succeeded
[2025-06-24 09:35:27,575] [INFO] Closing Libvirt Server...
[2025-06-24 09:35:28,563] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
